Title,Company,Location,Salary,Job Type,Description,Date Posted,Latitude,Longitude
Customer Service Representatives - Multiple Locations,PAL Airlines,"Goose Bay, NL",1.0,Full-time,"Assist customers through all phases of their booking, flight check-in and aircraft boarding and deplaning processes in accordance with our Customer Service…",30.0,53.333333,-60.416667
Social Worker,Mushuau Innu First Nation,"Natuashish, NL",,Full-time,"Complete case notes, case reviews, home studies, incident reports and case documents; develop and monitor the implementation of Plan of Care and develops short-…",4.0,55.9191523,-61.1117056
Material Sorter,Hebert's Recycling Inc.,"Norris Arm, NL",14.5,Part-time,The ideal candidate must able to stand for long periods of time and be able to lift up to 50 lbs. Part-time hours: 40 per week.,1.0,49.083761,-55.266724
Aesthetician,Monastery Spa,"St. John's, NL",1.0,Full-time,"Provide aesthetic treatments and services to guest specifications as per Monastery Spa standards, services that are required but not limited to;",4.0,47.5614705,-52.7126162
Laboratory Technician ( Cannabis ),AmSpec Ca,"Arnolds Cove, NL",1.0,Full-time,Ordering and maintaining stock and resources. Conduct required testing and lab activities under current Good Laboratory practices (GLP) including data…,4.0,47.7835313,-53.9679226
Warehouse Worker / Order Selector (Part-Time Afternoon Shift),Sobeys,"Mount Pearl, NL",17.75,Part-time,The Selector will provide customers and stores with accurate and secure orders in a timely and safe manner. Assemble orders for shipment to stores.   ,4.0,47.5239607,-52.811664
Client Registration Assistant,Fonemed,"Remote in St. John's, NL",17.25,Full-time,"Be comfortable as the first point of contact for all medicals calls, including mental health and crisis intervention calls. Paid vacation and sick time.   ",14.0,47.5614705,-52.7126162
Cashier,Shoppers Drug Mart / Pharmaprix,"Paradise, NL",,Part-time,"Benefit from a purchase discount program, competitive pay and online learning through Academy. Accurately accounts for cash and coupon, lottery, and PC Optimum.   ",3.0,47.5255933,-52.8724145
"Experienced Retail Department Manager, Administration - Labrador",Northern / NorthMart,Newfoundland and Labrador,,Full-time,Must have the ability and desire to develop an in-depth understanding of Northern/NorthMart customers. Follow up on delinquent accounts including participation…,30.0,53.8217327,-61.2295532
Entry Level Marketing Assistant,Charcoal Marketing,"St. John's, NL",18.78,Full-time,"Work under the direction of the marketing manager to help write, design, and produce proposals, presentations, and other material used to help the firm win work…  ",4.0,47.5614705,-52.7126162
Administrative Assistant,Puglisevich Canada,"St. John's, NL",,Full-time,The Administrative Assistant will provide support to the human resources department. Provide support to team members within the human resources department.   ,14.0,47.5614705,-52.7126162
Visitor Facilities Attendant (Anticipatory),Parks Canada,"St. John's, NL",21.83,"Weekends as needed
+2","Possession of a valid class 5 Driver’s License. Willingness to work irregular hours, shift work, overtime, weekends and/or statutory holidays and provincial…   ",1.0,47.5614705,-52.7126162
Seasonal Sales Associate- Avalon Mall,Bath and Body Works,"St. John's, NL",15.5,"Part-time
+1","Support product replenishment activities that keep the store full and abundant, including processing merchandise and maintaining the back room.  ",30.0,47.5614705,-52.7126162
Storekeeper Assistant,Puglisevich Canada,"St. John's, NL",,,Observe to uncover any non-compliance and immediately report these to his/her superior. Responsible for the systematization and tidiness of the spare-parts…   ,20.0,47.5614705,-52.7126162
KITCHEN HELPER,Noodle Nami,"St. John's, NL",,Full-time,"Permanent, Full Time, Part Time. No experience required (Full training provided).  ",30.0,47.5614705,-52.7126162
Visitor Facilities Attendant (Anticipatory),Parks Canada,"St. John's, NL",21.83,"Weekends as needed
+2","Possession of a valid class 5 Driver’s License. Willingness to work irregular hours, shift work, overtime, weekends and/or statutory holidays and provincial…   ",,47.5614705,-52.7126162
Seasonal Sales Associate- Avalon Mall,Bath and Body Works,"St. John's, NL",15.5,"Part-time
+1","Support product replenishment activities that keep the store full and abundant, including processing merchandise and maintaining the back room.  ",30.0,47.5614705,-52.7126162
Storekeeper Assistant,Puglisevich Canada,"St. John's, NL",,,Observe to uncover any non-compliance and immediately report these to his/her superior. Responsible for the systematization and tidiness of the spare-parts…   ,20.0,47.5614705,-52.7126162
Assistant Store Manager,Mushuau Innu General Store,"Natuashish, NL",,Full-time,Assist in the implementation of strategic or annual plans for the store and hotel to meet defined expectations. Program and Service Delivery Management*.,4.0,55.9191523,-61.1117056
Executive Assistant,City of Mount Pearl,"Mount Pearl, NL",,,  ,5.0,47.5239607,-52.811664
Customer Service Representative,Circle K,"St. John's, NL",,,"You will greet customers, run the cash register, make purchase suggestions and sometimes work with our food program. Years of service Recognition program.   ",,47.5614705,-52.7126162
Seasonal Sales Associate,Hillhead Designs Ltd.,"St. John's, NL",15.25,Part-time,"Keen interest/experience in Home Décor, home living and understanding of industry trends. Knowledge of Local Vendors and Crafts people in the business community…  ",,47.5614705,-52.7126162
"Inside Sales Representative - Wabush, NL",Air Liquide,"Wabush, NL",1.0,Full-time,"Use your welding knowledge and experience to deliver products to our customers, and help them find the right supplies for their projects and business needs.",4.0,52.8999927,-66.8701732
FOOD SERVER,Noodle Nami,"St. John's, NL",,Part-time,"Part Time, Shift, Weekend, Day, Night. Must be able to work well with others in a fast paced environment, and must possess excellent customer service skills.  ",30.0,47.5614705,-52.7126162
"cashier, customer service",Deluxe Dry Cleaners,"St. John's, NL",16.5,"Part-time
+1","Process money, cheques and credit/debit card payments. Calculate daily/shift payments received and reconcile with total sales.   ",11.0,47.5614705,-52.7126162
FOH Team Member,Mallard Cottage,"St. John's, NL",18.0,"Full-time
+3",Handle cash transactions and operate the cash register. Greet and welcome customers in a friendly and professional manner. Part-time hours: 20-40 per week.  ,30.0,47.5614705,-52.7126162
"Inside Sales Representative - Wabush, NL",Air Liquide,"Wabush, NL",1.0,Full-time,"Use your welding knowledge and experience to deliver products to our customers, and help them find the right supplies for their projects and business needs.",4.0,52.8999927,-66.8701732
Data Science Graduate (Canada),Novo Nordisk,Canada,,Full-time,No more than 1 year of full-time work experience after completing your Master’s degree (when hired). Recent master's degree (from 2023 or 2024) in either Data…,17.0,61.0666922,-107.991707
administrative officer,Pride Pak Canada,"Paradise, NL",40.0,"Full-time
+2",Administer policies and procedures related to the release of records in processing requests under government access to information and privacy legislation.   ,30.0,47.5255933,-52.8724145
Pre-board Screening Officer,Securitas Canada Ltd.,"St. John's, NL",,,Your important role will also ensure that the pre-board screening of passengers is conducted in an efficient and friendly manner.   ,30.0,47.5614705,-52.7126162
Sales Associate,"Foot Locker Corporate Services, Inc.","St. John's, NL",14.7,Part-time,Confident and comfortable engaging customers to deliver an elevated experience. Motivated to achieve great results because of one's enthusiasm from interacting…   ,30.0,47.5614705,-52.7126162
All Opportunities St. Clare's,NL Health Services,"St. John's, NL",,Full-time, ,30.0,47.5614705,-52.7126162
Event Staff,Memorial University of Newfoundland,"St. John's, NL",15.0,Part-time,Manage cash transactions and operate cash registers or point-of-sale systems. Ability to handle cash transactions accurately and efficiently.   ,1.0,47.5614705,-52.7126162
Security Guard - Part time or Casual,Securitas Canada Ltd.,"St. John's, NL",1.0,Part-time,"Controls access to client site or facility through the admittance process Patrols assigned site on foot or in vehicle; checks for unsafe conditions, hazards,…   ",30.0,47.5614705,-52.7126162
Office Administrator,Physio & Co.,"St. John's, NL",17.0,Full-time,"Tidy and maintain the reception. Take and relay messages ,prepare correspondence and patient documents. Complete daily online billing and insurance claims other…  ",5.0,47.5614705,-52.7126162
Full-Time Crew Member,McDonald's,"St. John's, NL",,Full-time,"Greeting guests, taking orders and processing payments. Managing delivery and mobile orders. Assembling orders and packaging take-out and delivery.   ",30.0,47.5614705,-52.7126162
tree harvester operator,Sexton Lumber Co. Limited,"Grand Falls-Windsor, NL",27.5,"Full-time
+1",Hours: 50 to 60 hours per week.  ,2.0,48.944151,-55.652618
Local Company Tractor Trailer Driver,Day & Ross,"Mount Pearl, NL",62.0,Full-time,"We plan our routes to make sure our truck drivers can enjoy reliable home time. Car Rental, Hotel, Flights, Gas, and other travel discounts.",30.0,47.5239607,-52.811664
Labour Relations Officer,Registered Nurses’ Union of Newfoundland &...,"St. John's, NL",91.0,Full-time,"Through advocacy and research, RNU has worked to improve the health care system and enhance the livelihood, safety, and well-being of our membership.  ",30.0,47.5614705,-52.7126162
Sales Associate,Torrid,"St. John's, NL",,Part-time,"Flexible schedules, associate discount 50%, additional monthly discount coupon, mental health resources, tuition reimbursement and employee stock purchase…   ",30.0,47.5614705,-52.7126162
Warehouse Worker (Full Time),Loblaw Companies Limited,"Mount Pearl, NL",,Full-time,"In this role, successful candidates will safely and accurately pick orders of groceries for hundreds of different Loblaw stores across the region.   ",30.0,47.5239607,-52.811664
"Superintendent, Production Area",Vale Canada,"Long Harbour-Mount Arlington Heights, NL",,Full-time,"Provide business direction to the Coaches and develop the Coach's business acumen and their ability, capacity to develop their teams.   ",18.0,47.44858145,-53.76102552927817
Associate,Royal Bank of Canada,"St. John's, NL",,Full-time,"A world-class training program in financial services. Respond to client inquiries in an understanding and time-efficient manner (account transactions, requests,…   ",30.0,47.5614705,-52.7126162
Pathways NL Administrator,Pathways NL,"St. John's, NL",,,"Pathways NL is an online resource that will provide family physicians, nurse practitioners, and their office staff/teams quick access to current and accurate…  ",30.0,47.5614705,-52.7126162
Warehouse Associate,Source Atlantic Limited,"Mount Pearl, NL",,Full-time,"Driver’s license and clean driving record. Picking, packing, shipping, and receiving orders. Confidential access to an Employee Family Assistance Program (EAP)…   ",11.0,47.5239607,-52.811664
"Team Member, Avalon Mall",Saje Natural Wellness | Retail,"St. John's, NL",,,"Contribute to an environment of excellent community member service, sharing our awesome products and spreading wellness through the in-store experience.   ",30.0,47.5614705,-52.7126162
assistant professor - university,Memorial University of Newfoundland and Labrador,"St. John's, NL",91.0,"Full-time
+1",  ,17.0,47.5614705,-52.7126162
companion,Leonard Clarke,"St. John's, NL",16.0,"Full-time
+1",Assume full responsibility for household (in absence of householder). Launder clothing and household linens. Shop for food and household supplies.  ,9.0,47.5614705,-52.7126162
Bowling alley Attendant,Paradise Bowl,"Paradise, NL",15.0,Part-time,Assist with cash handling and customer transactions at the front desk. Greet and assist customers in a friendly and courteous manner.  ,15.0,47.5255933,-52.8724145
"Chief Administrative Officer - Town of Placentia, NL",Hounsell Municipal Consulting,"Placentia, NL",,Full-time,The ideal candidate can demonstrate progressive experience in a municipal government or management role. This is a full-time permanent management position with…  ,30.0,47.2435087,-53.9635466
Custodian - Temporary hours week,Newfoundland & Labrador English School District,"St. John's, NL",20.05,Full-time,A Custodial Worker is responsible for providing daily janitorial duties through an established schedule to ensure that the schools are maintained at the highest…   ,4.0,47.5614705,-52.7126162
Cashier / Customer Experience Associate,Walmart Canada,"St. John's, NL",,Full-time,Walmart will accommodate the disability-related needs of applicants and associates as required by law. To provide exceptional customer service and assist in…   ,30.0,47.5614705,-52.7126162
Truck Driver for Broker,Day & Ross,"St. John's, NL",,Full-time,"O Auto purchasing discount program. O FAMILY Employee assistance program. O Car Rental, Hotel, Flights, Gas, and other travel discounts.",10.0,47.5614705,-52.7126162
INTERVIEWER,Memorial University of Newfoundland,Newfoundland and Labrador,45.0,"Part-time
+1","The successful candidate must hold a valid drivers licence, a vehicle, cell phone and have access to Internet. Experience with Microsoft Office is required.   ",8.0,53.8217327,-61.2295532
Overnight Merchandising Store Associate,Walmart Canada,"St. John's, NL",,Full-time,"This will be accomplished by unloading trailers, pulling pallets to the floor and assisting in the processing of merchandise all in a safe and clean environment…   ",30.0,47.5614705,-52.7126162
Production Technician,Atlantic Cultivation,"St. John's, NL",17.0,Full-time,Ensure shipping and receiving activities are done accurately and on time. Ensure refuse and waste products are managed and destroyed as per the current SOP’s.   ,4.0,47.5614705,-52.7126162
Organizer,Neighbours United,"St. John's, NL",24.04,Part-time,Access to reliable transportation and valid driver’s license. The Organizer will support an ongoing deep canvassing program that includes: having deep canvass…  ,3.0,47.5614705,-52.7126162
administrative assistant,YH Holdings Inc,"St. John's, NL",25.0,"Full-time
+1","Plan, develop and implement recruitment strategies. Oversee development of communication strategies. Manage training and development strategies.  ",30.0,47.5614705,-52.7126162
Labourer,Rockateer Treats,"Paradise, NL",15.5,Full-time,Load and unload food for processing. Perform physical labor tasks as assigned by the supervisor. Operate freeze dryers and properly package product.  ,1.0,47.5255933,-52.8724145
"Associate, Sales & Customer Service",Intact,"Hybrid remote in St. John's, NL",,Full-time,"Guide auto and home customers on insurance solutions. Inclusive employee-led networks to educate, inspire, amplify voices, build relationships and provide…   ",22.0,47.5614705,-52.7126162
Night Auditor,Holiday Inn Express & Suites St. John's Airport,"St. John's, NL",18.75,"Full-time
+1","Handles cash, cheques, credit and debit card transactions in accordance with Hotel Policies. Provides superior customer service and handles administrative…   ",11.0,47.5614705,-52.7126162
Administrative Coordinator - TELUS Health,TELUS,"St. John's, NL",,Full-time,"Offering a full range of occupational health services from pre-employment screenings, to rehabilitative services for the ill or injured worker, to complete on…   ",30.0,47.5614705,-52.7126162
Host,Moxies,"St. John's, NL",1.0,Full-time,"Leading our front door to ensure prompt, friendly greeting and seating of each guest. Answering the phone to handle reservations and guest inquiries.   ",30.0,47.5614705,-52.7126162
Part Time Sales Associate - (Store#1508 Ropewalk Lane),Pet Valu,"St. John's, NL",,Part-time,"Preparing merchandise orders, banking and other miscellaneous paperwork. Placing small items (under 10 lbs) including pet supplies, household items, etc. into…",30.0,47.5614705,-52.7126162
Virtual Medical Scribe,Aquity Canada ULC,"Remote in St. John's, NL",16.0,Full-time,Pre-employment testing to include typing test required. Please play the Virtual Scribe Full Demonstration video for more details on the position.   ,30.0,47.5614705,-52.7126162
Bartender/Server,The Capital Hotel,"St. John's, NL",15.0,Full-time,Handle cash transactions and operate the cash register. Prepare and serve alcoholic and non-alcoholic beverages to customers.  ,25.0,47.5614705,-52.7126162
Security Guard - Fulltime,Securitas Canada Ltd.,"St. John's, NL",,Full-time,"Controls access to client site or facility through the admittance process Patrols assigned site on foot or in vehicle; checks for unsafe conditions, hazards,…   ",30.0,47.5614705,-52.7126162
Office Assistant,Cowan's Optical,"Mount Pearl, NL",15.0,Full-time, ,11.0,47.5239607,-52.811664
cashier,Kenny Enterprises Limited,"St. John's, NL",15.0,"Full-time
+1","Education: No degree, certificate or diploma. Process money, cheques and credit/debit card payments. Verify the age of customers when selling lottery tickets,…   ",9.0,47.5614705,-52.7126162
"Waste Management Coordinator, Eastern Health",Compass Group,"St. John's, NL",,Full-time,Overall objective of this Role is to ensure consistency throughout NL Health Services in the waste management program.   ,9.0,47.5614705,-52.7126162
Merchandising Store Associate,Walmart Canada,"St. John's, NL",,Full-time,  ,30.0,47.5614705,-52.7126162
Maintenance Custodian - Permanent hrs/week,Newfoundland & Labrador English School District,"St. John's, NL",21.2,"Full-time
+1",  ,4.0,47.5614705,-52.7126162
"Communications and Engagement Lead, Toqlukuti’k Wind and Hydrogen",ABO Wind Canada,"St. John's, NL",,Full-time, ,25.0,47.5614705,-52.7126162
Clerk A,Newfoundland & Labrador Housing Corporation,"Corner Brook, NL",26.63,,  ,30.0,48.95317,-57.947388
Materials Assistant,Vale Canada,"Long Harbour-Mount Arlington Heights, NL",,Full-time,  ,17.0,47.44858145,-53.76102552927817
Intervention Specialists / Operators,Schlumberger,"Mount Pearl, NL",,Full-time,  ,1.0,47.5239607,-52.811664
Call Taker/Dispatcher,Mr. Rooter Plumbing / Mr.Electric of St. John's...,"St. John's, NL",18.5,Full-time, ,4.0,47.5614705,-52.7126162
"General Applicant- Gander, NL, Canada",D-J Engineering,"Gander, NL",,Full-time, ,30.0,48.9592291,-54.6187879
Cargo Agent,Air Borealis,"Happy Valley-Goose Bay, NL",,Full-time,  ,1.0,53.2964352,-60.3111895
Food Services,NL Health Services,"St. John's, NL",,, ,30.0,47.5614705,-52.7126162
Settlement Officer,Association for New Canadians,"St. John's, NL",,Full-time,  ,1.0,47.5614705,-52.7126162
Purchasing Analyst,Purity Factories Ltd.,"St. John's, NL",,Full-time, ,30.0,47.5614705,-52.7126162
"Test Center Manager - St. John's, NL",Pearson,"St. John's, NL",20.0,Part-time,  ,2.0,47.5614705,-52.7126162
Housekeeping Room Attendant,Holiday Inn Express & Suites St. John's Airport,"St. John's, NL",16.75,"Full-time
+1",  ,11.0,47.5614705,-52.7126162
Medical Receptionist,People Stuff,"St. John's, NL",20.0,Full-time, ,9.0,47.5614705,-52.7126162
Housekeeping Room Attendant,Holiday Inn Express & Suites St. John's Airport,"St. John's, NL",16.75,"Full-time
+1",Provides superior customer service and has the passion to want to make our guests feel at home. This role will contribute to the overall success of the Hotel by…   ,11.0,47.5614705,-52.7126162
HSE Officers,Master Drilling Group,"Nain, NL",100.0,Full-time,"Under the supervision of the project manager, The HSE Officer is to provide the necessary resources and support required to enable field personal to meet all…  ",30.0,56.54340345,-61.69283301586507
Equipment Operator - Seasonal,City Of Mount Pearl,"Mount Pearl, NL",32.6,Seasonal,Thorough experience in operating a variety of heavy equipment found within a municipal environment supplemented by graduation from high school OR considerable…   ,30.0,47.5239607,-52.811664
Food Bank Coordinator,MacMorran Community Center,"St. John's, NL",18.57,Full-time,Meeting with foodbanks to determine needs and gain an understanding of issues. Ongoing meetings with the coalition partners to report on progress.  ,4.0,47.5614705,-52.7126162
St. John's Office Support Assistant,McInnes Cooper,"St. John's, NL",,Full-time,"Back-up reception coverage, which includes greeting clients, answering the phone and redirecting calls, managing boardroom bookings and setup; and,.   ",29.0,47.5614705,-52.7126162
Apprentice,Otis,"St. John's, NL",,Full-time,The elevator trade requires a variety of skill sets for individuals to be successful in the field. Applicants must have attended post-secondary schooling in…   ,30.0,47.5614705,-52.7126162
Food Service Worker II,NL Health Services,"St. John's, NL",21.0,Full-time,The successful candidate will be required to provide a satisfactory Certificate of Conduct from the RCMP or local Police (Vulnerable Sector Check may be…  ,14.0,47.5614705,-52.7126162
Administrative Assistant - Human Resources hours per week,Newfoundland & Labrador English School District,"St. John's, NL",,Part-time,"Reporting to the Senior Management Official – Human Resources, this provincial position involves executive level clerical and administrative support duties.   ",1.0,47.5614705,-52.7126162
Customer Service Representative -ACT,Circle K,"St. John's, NL",,,"You will greet customers, run the cash register, make purchase suggestions and sometimes work with our food program. Years of service Recognition program.   ",30.0,47.5614705,-52.7126162
Junior Hydrogeologist (23052),GEMTEC Consulting Engineers and Scientists Limited,"Mount Pearl, NL",,Full-time,"This position involves a significant component of fieldwork, and will be approximately 80% field-based and 20% office-based.   ",30.0,47.5239607,-52.811664
Aircraft De-icer,Inland Group,"St. John's, NL",1.0,Full-time,"Valid driver’s license and driving record that meets Company insurance standards; Abide by Inland’s procedural handbooks, operational plans, and directives of…   ",3.0,47.5614705,-52.7126162
administration officer,Golden Harbor Trading Inc,"St. John's, NL",25.0,"Full-time
+1",Hours: 40 hours per week.  ,18.0,47.5614705,-52.7126162
Overnight Crew Member,McDonald's,"St. John's, NL",,,"Greeting guests, taking orders and processing payments. Managing delivery and mobile orders. Assembling orders and packaging take-out and delivery.   ",30.0,47.5614705,-52.7126162
Exploration Geophysicist,Canada-Newfoundland and Labrador Offshore...,"St. John's, NL",,Full-time,Applicants should have at least five years' experience in the petroleum industry and must possess a minimum of a Bachelor's degree in Geology or Geophysics.  ,2.0,47.5614705,-52.7126162
Sales Associate-Avalon Mall Annex,The Children's Place,"St. John's, NL",,Part-time,Signale rapidement à l'équipe de direction les besoins en matière de maintenance et de matériel pour offrir aux clients et associés un environnement propre et…   ,30.0,47.5614705,-52.7126162
"Health, Safety, and Environment Advisor (Rotational - Labrador)",Locke's Electrical Limited,"Labrador City, NL",80.0,Full-time,"· Bachelor’s degree or college diploma in occupational health and safety, or a related bachelor’s degree with significant professional development in…  ",4.0,52.9422944,-66.9177291
"attendant, funeral home",Carnell's Funeral Home Ltd,"St. John's, NL",18.0,"Part-time
+1","Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years. Assist clients/guests with special needs.  ",11.0,47.5614705,-52.7126162
Early Childhood Educator and Assistant,Donna Daycare Centre Inc,"Mount Pearl, NL",15.0,Full-time,"Support early childhood educators in carrying out programs that promote the physical, cognitive, emotional and social development of children,.  ",1.0,47.5239607,-52.811664
Cashier/Food Counter Attendant,Menchie's Frozen Yogurt,"Mount Pearl, NL",15.0,"Full-time
+1",May receive payment for food items purchased. Menchies Frozen Yogurt in St John's and Mt Pearl is looking to hire a permanent full-time or Part time Food…  ,8.0,47.5239607,-52.811664
urban snow removal equipment operator - public works,EL J Holding Inc.,"St. John's, NL",23.0,"Full-time
+1","Education: No degree, certificate or diploma. Certificates, licences, memberships, and courses. Class 5/5F/G Licence (cars, small trucks and other 2-axle…  ",15.0,47.5614705,-52.7126162
Heavy Equipment Operator,City of St. John's,"St. John's, NL",30.03,"Full-time
+1","The City of St. John’s is committed to recruiting world-class talent and expertise to join our City staff, more than 1200 strong, who provide a vast array of…   ",30.0,47.5614705,-52.7126162
"Maintenance Technician, Mechanical",Suncor Energy,"St. John's, NL",,Full-time,"Suncor's operations include oil sands development, production and upgrading; offshore oil and gas; petroleum refining in Canada and the U.S.; and the company's…  ",9.0,47.5614705,-52.7126162
kitchen helper,Awesome Enterprises Ltd,"Mount Pearl, NL",15.0,"Full-time
+1","Education: No degree, certificate or diploma. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ",21.0,47.5239607,-52.811664
Volunteer Coordinator,The Gathering Place,"St. John's, NL",,Full-time,"As a non-profit, community health centre, The Gathering Place provides integrated health and social services to individuals who are homeless or precariously…   ",29.0,47.5614705,-52.7126162
Roustabout,Puglisevich Canada,"St. John's, NL",,,"We encourage applications from Indigenous peoples, visible minorities, women, and persons with disabilities having the capability, qualifications, and…   ",20.0,47.5614705,-52.7126162
Warehouse Associate,Newterm Logistics,"St. John's, NL",18.0,Full-time,You will be required to provide a certificate of conduct and a copy of all current training certificates. Handle and sort incoming merchandise.   ,2.0,47.5614705,-52.7126162
EMT Trainee,Nasittuq Corporation,"Goose Bay, NL",,Permanent,Two-year electronic technician program from a recognized and accredited institution or Canadian military equivalent. WE ENCOURAGE APPLICANTS TO SELF-IDENTIFY.   ,30.0,53.333333,-60.416667
Retail Sales Associate,Gap,"St. John's, NL",,Part-time,Acknowledge and assist customers; locate merchandise efficiently using various methods; answer questions quickly and accurately. Virtual health care 24/7*.   ,23.0,47.5614705,-52.7126162
Day Staff Crew Member,McDonald's,"St. John's, NL",,Part-time,"Did you know that from coast to coast, we serve delicious choices to more than 2.5 million people in over 1,400 locations every day, or that we have proudly…   ",30.0,47.5614705,-52.7126162
Medical Office Assistant / Ophthalmic Assistant,Avalon Medical Specialists PMC Inc.,"St. John's, NL",37.0,"Full-time
+1",Now hiring for a full-time medical office assistant/technician for an ophthalmology clinic in St. John’s. Priority will be given to candidates with relevant…  ,4.0,47.5614705,-52.7126162
Stores Clerk,PAL Technical Services,"St. John's, NL",,Full-time,Provide inventory control of aircraft parts. Entering parts data into company's maintenance tracking system. Control quarantine stores as per company's MCM.   ,26.0,47.5614705,-52.7126162
Records and Information Management Officer,City Of Mount Pearl,"Mount Pearl, NL",61.0,Full-time,"The ideal candidate for this position has progressive experience in information management with proven experience in planning, organizing and monitoring project…   ",7.0,47.5239607,-52.811664
fruit and vegetable machine operator,Pride Pak Canada,"Paradise, NL",20.85,Full-time,Fruit and vegetable processing plant. Set up and adjust processing and packaging machines. Inform supervisor of mechanical malfunctions or product…   ,2.0,47.5255933,-52.8724145
Shop Helper,Capital Subaru,"St. John's, NL",16.0,"Full-time
+1","Ensures safety policies, standards, and procedures are followed to achieve a safe work environment and safety for all staff, customers, and vendors.  ",4.0,47.5614705,-52.7126162
Legal Assistant (Permanent) - St. John's Primary Conflict Office,Newfoundland and Labrador Legal Aid Commission,"St. John's, NL",,Full-time,Legal Aid NL is an innovative legal aid plan that responds to the needs of low income persons by promoting access to justice through the provision of quality…   ,9.0,47.5614705,-52.7126162
delivery driver,Pik-Fast Express Inc.,"Mount Pearl, NL",1.0,Full-time,"Education: No degree, certificate or diploma. Pay and receive payments for goods. Use maps and other trip planning aids. Up to 9 kg (20 lbs).  ",9.0,47.5239607,-52.811664
driver helper,Around The Bay Disposal Inc.,"Carbonear, NL",16.0,"Full-time
+1","Education: No degree, certificate or diploma. Driver's validity licence check. Assist trucks and delivery drivers to load and unload vehicles.   ",1.0,47.733123,-53.2366225
food counter attendant,FB Burrito Partnership,"St. John's, NL",15.5,"Full-time
+1","Serve customers at counters or buffet tables. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ",21.0,47.5614705,-52.7126162
Canada Job Posts,Borea Construction,Canada,,,Valid Class 5 driver’s license. Nous cherchons les personnes les plus brillantes et les meilleures qui partagent notre passion pour la construction de parc d…,30.0,61.0666922,-107.991707
bartender,Spirit of Newfoundland Productions LTD,"St. John's, NL",15.0,"Full-time
+1","Collect cash, credit/debit cards or other payment for beverages. Enforce provincial/territorial liquor legislation and regulations. Organize and set up bar.  ",6.0,47.5614705,-52.7126162
Dental Reception/Assistant,"NL Periodontics and Dental Implants, Dr. Tony...","St. John's, NL",20.0,Full-time,"Full time Dental Receptionist We are seeking a dedicated, mature, compassionate individual that has a passion for helping others and a drive for providing…  ",4.0,47.5614705,-52.7126162
Early Morning Stocker,PetSmart,"St. John's, NL",1.0,,This position requires working during non-operating store hours which may include weekends and holidays. Providing exceptional customer service and assisting…   ,30.0,47.5614705,-52.7126162
Derrickhand,Parker Wellbore,"St. John's, NL",,Full-time,"Founded in 1934, Parker Wellbore helps customers manage their costs and mitigate their risks, to achieve their operational goals in a safe and efficient manner.   ",10.0,47.5614705,-52.7126162
Domestic/Laundry,NL Health Services,"St. John's, NL",,,The successful candidate will be required to provide a satisfactory Certificate of Conduct from the RCMP or local Police (Vulnerable Sector Check may be…  ,30.0,47.5614705,-52.7126162
Server,Best Western Plus St. Johns Airport Hotel & Suites,"St. John's, NL",14.5,"Full-time
+1","Processes guests’ orders and ensures all items are prepared properly, in a timely manner and to ensure guest satisfaction with the food and service.   ",4.0,47.5614705,-52.7126162
Derrickhand,Parker Wellbore,"St. John's, NL",,Full-time,"Founded in 1934, Parker Wellbore helps customers manage their costs and mitigate their risks, to achieve their operational goals in a safe and efficient manner.   ",10.0,47.5614705,-52.7126162
Domestic/Laundry,NL Health Services,"St. John's, NL",,,The successful candidate will be required to provide a satisfactory Certificate of Conduct from the RCMP or local Police (Vulnerable Sector Check may be…  ,30.0,47.5614705,-52.7126162
Economic Development Officer,Town of Deer Lake,"Deer Lake, NL",,Full-time,"The Economic Development Officer (EDO) is responsible for research and development, economic/community development and communications.  ",24.0,49.1830366,-57.4320002
Driller Assistant,Master Drilling Group,"Nain, NL",24.0,Full-time,Read and interpret engineering plans to assist in the setup of the raise drill and assemble components. Prepares and completes all necessary paperwork required…  ,30.0,56.54340345,-61.69283301586507
"Business Analyst, Expression of Interest",Newfoundland and Labrador Centre for Health...,Hybrid remote in Newfoundland and Labrador,67.0,Temporary,"Any offer of employment will be conditional upon completion of required background checks including acceptable professional reference checks, provision of a…  ",4.0,47.5614705,-52.7126162
Farm Labourers,Country Ribbon,"St. John's, NL",19.5,,High school diploma or equivalent and possession of a valid driver’s license are required. Applicants must be willing to work in a farm setting with live…   ,30.0,47.5614705,-52.7126162
Sales Associate,Rogers Communications,"St. John's, NL",,Part-time,Participate in community events and outreach efforts to support local small businesses. Engage and grow your customer base with personalized communication and…,8.0,47.5614705,-52.7126162
Student Recruiter (Band Level 7),Memorial University,"St. John's, NL",48.0,Permanent,"Duties include developing and presenting information about the Marine Institute to local, national, and international audiences, including high schools, career…   ",30.0,47.5614705,-52.7126162
Assistant Derrickman,Puglisevich Canada,"St. John's, NL",,,Frequently test the properties of the drilling fluid and keep records of the results. Contribute to good communication between all involved in the ongoing…   ,20.0,47.5614705,-52.7126162
Room Attendant,Delta St. John's Westmont Hospitality Group,"St. John's, NL",14.69,Casual,"Shut off all lights, TVs, and air conditioners when leaving room. Must be able to speak, read, write, and understand the primary language(s) used by guests…  ",30.0,47.5614705,-52.7126162
