Title,Company,Location,Salary,Job Type,Description,Date Posted
Learning Specialist II,TELUS,"St. John's, NL",N/A,Full-time,Must hold valid driver’s license. Collaborating with stakeholders and business partners to develop learning solutions that align the businesses needs with…   ,30
Account Executive,Newfoundland Growlers,"Hybrid remote in St. John's, NL",35.0,Full-time,"This is achieved with a proactive work ethic through networking and establishing relationships, prospecting, attending events, providing world class service,…  ",19
stock clerk - retail,D.J. Gift Shop Ltd.,"Hopedale, NL",15.2,"Full-time
+1","Unpack products received by store and count, weigh or sort items. Bag, box or parcel purchases for customers, for shipment or delivery. Up to 23 kg (50 lbs).  ",30
"clerk, front desk - hotel",Nain Hotel Ltd.,"Nain, NL",14.5,"Full-time
+1","Answer telephone and relay telephone calls and messages. Take, cancel and change room reservations. Experience: 7 months to less than 1 year.  ",30
Friendly Visitor - St. Clare's,NL Health Services,"St. John's, NL",N/A,Full-time,Friendly visiting volunteers should have effective and courteous verbal and non-verbal communication skills; be self-motivated and have a willingness and…  ,30
Cabinet Maker,Refresh Contracting and Cabinetry Ltd,"Mount Pearl, NL",18.0,Full-time,The successful candidate must have experience in a residential and/or commercial environment. Candidates must have 3+ years’ experience working in a cabinet…  ,5
Computational Biologist,Sequence Bio,"Remote in St. John's, NL",N/A,Full-time,"Benefits: Flexible and generous PTO policy, progressive health and wellness benefits plan, RRSP contribution matching benefit, competitive stock option plan,…  ",17
Terminal Maintenance “A”,Newfoundland and Labrador Hydro,"Hybrid remote in Whitbourne, NL",N/A,Permanent,You shall have a thorough knowledge of all regulations and safety rules and must possess an appropriate valid driver's license (class 3 with air brake…   ,18
Information Analyst and Assistant Board Secretary,Board of Commissioners of Public Utilities,"St. John's, NL",60.0,Full-time,"Develop, implement, update, administer and monitor information management programs, protection policies and procedures for the Board which ensures the creation,…",4
janitor,Proper Care Services Inc,"Labrador City, NL",18.0,"Full-time
+1","Move heavy furniture, equipment and supplies. School or educational institution/establishment. Sweep, mop, scrub and wax hallways, floors and stairs.  ",9
Project Manager,Omega 365,"St. John's, NL",N/A,,"A valid driver's license.  Identify and respond to issues, implement timely interventions or escalate as required to ensure project outcomes comply with…  ",3
Supply Chain Manager,Atlantic Cultivation,"St. John's, NL",N/A,Full-time,"Work collaboratively with operations, finance and quality teams to ensure that the supply chain supports the smooth running of daily operations and meets the…   ",30
store manager - retail,Cohen's Home Furnishings (2010) Limited,"Bay Roberts, NL",1.0,Full-time,Experience: 1 year to less than 2 years. Hours: 80 hours bi-weekly.  ,23
Enseignant(e) contractuel(elle),Conseil scolaire francophone provincial de...,"Happy Valley-Goose Bay, NL",43.0,"Full-time
+1",Aptitude à travailler en équipe et à promouvoir la collaboration. Disposer de sa certification d’enseignant.e à Terre-Neuve-et-Labrador.  ,12
Banquet Server/Bartender,Royal Canadian Legion Branch 56,"St. John's, NL",14.5,"Part-time
+2","Must be able to work days, nights, weekends and flexible hours. Job Types: Casual, Permanent, Part-time. Part-time hours: 5 - 40 per week.  ",30
Red Seal Crane Operator,Integrated Logistics,Newfoundland and Labrador,1.0,Full-time,"Participate in Integrated Logistics flow to work program which sees workers move between tasks, equipment pieces and labour assignments throughout the shift and…",4
Graduate Manager Program,Mowi Canada West,"Stephenville, NL",N/A,Full-time,"Reporting to the Freshwater Production Director, Graduate recruits will work through a 75 week program that will expose them to every aspect of our business.  ",30
"Project Engagement Lead, Toqlukuti’k Wind and Hydrogen",ABO Wind Canada,"St. John's, NL",N/A,Full-time, ,30
Housekeeper/Room Attendant,Best Western Plus St. John's Airport Hotel &...,"St. John's, NL",15.0,Full-time,"Clean and wipes windows, doors, walls, closets, and fixtures in rooms, public areas, and hallways. Inspect door and window lock to ensure they are in working…   ",4
Housing Support Mentor,Choices For Youth,"St. John's, NL",1.0,Full-time,"Both the programming and the physical layout of the building promote a sense of community, while maintaining individual home spaces in a youth-friendly…   ",30
Case Manager,WorkplaceNL,"Corner Brook, NL",N/A,Full-time,"A vehicle and valid driver's license are conditions of employment. You will work with injured workers, their employers, and a team of professionals to provide…   ",30
Home Manager with Brightisle,Brightisle,"Carbonear, NL",N/A,Full-time,"Post-secondary education, and knowledge or experience working in the health care or social science industry and a satisfactory Record of Conduct, Vulnerable…  ",18
Project & Safety Coordinator,FIT Industrial,"St. John's, NL",50.0,"Full-time
+1","A degree or diploma in a related field (such as business administration, project management) or relevant experience. Track project expenses and prepare reports.  ",30
Aerie - Brand Ambassador (Sales Associate) - Canada,American Eagle Outfitters,"St. John's, NL",N/A,Part-time,"You're eager to introduce the AEO loyalty program and additional brand channels to guests. This applies to all AEO activities, including, but not limited to,…   ",30
Invoicing Clerk,Omega 365,"St. John's, NL",1.0,Full-time,Actively use Company accounting software (Sage) for data entry. Post invoices from outside vendors and contractors. Resolve any billing errors that may occur.  ,9
Sales Lead/Key Holder,Globo Shoes 4542 Avalon Mall,"St. John's, NL",2.0,Full-time,Maximizes personal and store sales by promoting brand initiatives and delivering a “customer-obsessed” omni-channel experience *Ensures the store is brand…  ,1
Management Trainee,Enterprise Holdings,"St. John's, NL",52.0,Full-time,Must have a valid class 5 Canadian driver's license with no more than two chargeable moving violations or accidents within the last three years.,1
Winter Porter - Janitorial,GDI Services (Canada) LP,"St. John's, NL",1.0,Full-time,"GDI Services (Canada) LP is committed to accommodating applicants with disabilities up to the point of undue hardship during the recruitment, assessment, and…   ",8
Event & Custom Tour Planner,McCarthy's Party Ltd.,"St. John's, NL",25.0,Full-time,"A degree in Event Management, Hospitality, or a related field is a plus. Staffing: Recruit, manage, and supervise event staff, including vendors and temporary…  ",11
"Job Coach for Person with Intellectual Disability (Fast Food, St. John's)",Visions Employment Plus Inc.,"St. John's, NL",16.05,Part-time,"Duties include working alongside individual providing support and motivation, and helping client complete their duties, which include keeping lobby clean and…  ",4
Garden Centre Worker,Murray's landscape Services,"Portugal Cove-st Philips, NL",N/A,,Assist cashiers with the cash - record and accurately perform all cash and transaction duties while keeping within policy guidelines.  ,30
Business Diversity Officer,Association for New Canadians,"St. John's, NL",N/A,Full-time,Valid class 5 driver's licence and access to a reliable vehicle is required. Presentations and Workshops – Prepare and deliver presentations and workshops to…   ,10
dairy herdsperson,Glenview Farm,"St. John's, NL",17.48,"Full-time
+1",Education: Secondary (high) school graduation certificate. Operate and maintain farm machinery and equipment. Experience: 1 to less than 7 months.  ,13
Part Time Sales Associate - (Store#1508 Ropewalk Lane),Pet Valu,"St. John's, NL",N/A,Part-time,"All of our stores are dedicated to helping local pets in need, and we partner with local shelters, rescues and charities for adoption events, in-store adoption …   ",30
Medical Receptionist,People Stuff,"St. John's, NL",20.0,Full-time,"Establish and manage various internal office administrative procedures, including document tracking, filing, and monthly reporting. What you will be doing:  ",9
Real Time Energy Marketer,Newfoundland and Labrador Hydro,"Hybrid remote in St. John's, NL",N/A,Full-time,"You have a bachelor's degree in a related field such as business, applied science, math, statistics, or economics. For more information, visit www.nlhydro.com.   ",19
Heavy Equipment Operator,Town of Conception Bay South,"Conception Bay South, NL",30.29,"Full-time
+1",Graduate of a recognized educational program accredited by the province of Newfoundland and Labrador for equipment operation. Application deadline: 2023-11-29.   ,8
Seasonal Sales Associate-Garage Clothing,Groupe Dynamite Inc.,"St. John's, NL",N/A,Part-time,Employee referral program: be our best ambassador! Learning and development programs to grow and exploit full potential to succeed in your next step!   ,30
Service Coordinator,Johnson Controls,"Mount Pearl, NL",N/A,Full-time,"Measure branch activity and compliance with program initiatives, identify areas that require improvement and develop and implement action plans with branch…   ",29
Project Coordinator,2025 Canada Games,"Hybrid remote in St. John's, NL",1.0,Full-time,"Élaborer des rapports sur la planification fonctionnelle, et veiller à la transparence et à la rigueur vis-à-vis des dates limites et des objectifs.  ",10
Diversity Coordinator,Association for New Canadians,"St. John's, NL",N/A,Full-time,"Supporting colleagues in a variety of media, community, and government relations initiatives, as needed or required. Location: St. John’s, NL.   ",30
Courier Driver,Harvey & Company LTD.,"St. John's, NL",16.0,Full-time,O You have a valid Class 5 or Class G driver’s licence with a safe driving record for at least 3 years (driver's abstract required).  ,4
mechanical harvester and forwarder operator,COTTLE'S ISLAND LUMBER COMPANY LIMITED,"Grand Falls-Windsor, NL",1.0,Full-time,"Operate a variety of machines which perform a combination of slashing, bucking, chipping, sorting and loading logs or trees. Hours: 1 to 84 hours bi-weekly.  ",15
Part-time Cleaner,Crombie REIT,"St. John's, NL",N/A,Part-time,"Provide excellent customer service with strong communication, interpersonal and organizational skills to team members, tenants, and customers.   ",8
housekeeping attendant,Nain Hotel Ltd.,"Nain, NL",16.5,"Full-time
+1","Vacuum carpeting, area rugs, draperies and upholstered furniture. Experience: 7 months to less than 1 year. Sweep, mop, wash and polish floors.  ",30
school bus driver,EL J Holding Inc.,"St. John's, NL",18.0,"Full-time
+1","Perform pre-trip, en route and post-trip inspection and oversee all aspects of vehicle. Ensure children's safety when boarding and leaving buses and crossing…  ",15
server - food and beverage services,TORBAY FUN FOODS LTD,"St. John's, NL",14.5,"Full-time
+1","Present bills to customers and accept payment in cash, credit or debit cards, travellers cheques or room billings. Address customers' complaints or concerns.  ",30
Van/Truck Courier Driver,Millennium Express,"Paradise, NL",19.5,Full-time,Must have a valid NL license. Must have a clean driving abstract. Air Brake endorsement and experience driving standard a must.  ,29
Communications and Community Relations Specialist,Newfoundland Power Inc.,"St. John's, NL",N/A,Full-time,"You must demonstrate a thorough working knowledge of social media, videography, graphic design, and web/social media content management and reporting tools as…   ",23
shipper-receiver,PROMINENT TRANSPORTATION INC,"Bishop's Falls, NL",22.25,"Full-time
+2","Prepare bills of lading, invoices and other shipping documents. Pay and receive payments for goods. Affix identifying information and shipping instructions on…  ",30
Assistant Store Manager,Mushuau Innu General Store,"Natuashish, NL",N/A,Full-time,Assist in the implementation of strategic or annual plans for the store and hotel to meet defined expectations. Program and Service Delivery Management*.,4
construction helper,Emmanuel Construction Services Ltd.,"Glovertown, NL",15.0,"Full-time
+1",Level earth to fine grade specifications. Tend or feed machines or equipment used in construction. Experience: 1 year to less than 2 years.  ,12
Palliative Care Volunteer,NL Health Services,"St. John's, NL",N/A,Full-time,"All volunteers must attend these sessions prior to beginning their volunteer assignment. The Miller Centre is seeking volunteers, 18 years of age or older, to…  ",30
Underground Operations Planner,Vale Canada,"Labrador City, NL",N/A,Full-time,"Ensure that work plans are designed to safely operate without impact to employees, the business, the environment, the community and the regulators, while…   ",14
Seasonal Sales Associate,Groupe Dynamite Inc.,"St. John's, NL",N/A,Part-time,"You will participate in all the essential duties that contribute to the efficient and profitable operation of the store, while maintaining the brand and visual…   ",30
Home Support Worker,TLC Nursing and Home Care Services Ltd.,"St. John's, NL",17.05,"Full-time
+1","Community Engagement: Accompany clients to medical appointments, social outings, and recreational activities, promoting their independence and engagement in the…  ",18
Seasonal Sales Associate,Groupe Dynamite Inc.,"St. John's, NL",N/A,Part-time,"You will participate in all the essential duties that contribute to the efficient and profitable operation of the store, while maintaining the brand and visual…   ",30
Cook Helper,NL Health Services,"Forteau, NL",19.66,Part-time,""" Prepares regular meals for special diet patients; "" Experience in food preparation, preferably supplemented by an approved cooks training course;  ",16
General Labourer,H&R Mechanical Supplies Ltd.,"St. John's, NL",18.0,Full-time,Work along side Oil Burner Technicians during the installations of oil furnace systems and oil tanks. A Valid Class 5 Drivers License.  ,5
Editor-in-Chief,Downhome Publishing Inc.,"St. John's, NL",1.0,Full-time,"Contributing to social media and online properties. A degree/diploma in Journalism, Communications or similar. Editorial planning, short- and long-term.  ",4
aquaculture worker,Cold Ocean Salmon Inc.,"Hermitage, NL",18.0,"Full-time
+1","Education: No degree, certificate or diploma. Cull, mark or tag stock and report stock irregularities. Repair nets, splice ropes and maintain fishing gear and…  ",30
Hydrographer - Marine,Fugro,"St. John's, NL",N/A,Full-time,Possess the ability to obtain a valid passport for international travel. The Hydrographer is responsible for conducting Hydrographic surveys in accordance with…   ,30
Physiotherapy Assistant,Lifemark Health Group,"St. John's, NL",N/A,Full-time,"Answer telephone calls, greet patients and visitors upon arrival, and provide excellent customer service for all questions or concerns.   ",21
Hatchery Technician,Mowi ASA,"Stephenville, NL",N/A,Full-time,"In the Hatchery Technician role you will experience all the duties of a Hatchery Technician including, feeding, grading/counting or measuring fish, mortality…  ",30
facility worker,Mazol Shrine Centre,"St. John's, NL",16.0,Full-time,"St. John's, NL A1E 2C5: reliably commute or plan to relocate before starting work (required). Setting up for meetings, banquet function, clean up of banquet…  ",30
Crew Member,Lawn Plus Canada - St. John's,"St. John's, NL",16.0,Full-time,Maintain a clean and organized site and project. Drop off flyers and market door-to-door in neighbourhood around work site.  ,2
Delivery Driver,Mathon Deliveries Ltd.,"Corner Brook, NL",170.0,"Full-time
+1",Valid driver's license with a clean driving record. Safely and efficiently operate a delivery vehicle to transport packages to customers.  ,7
Heavy Equipment Operator,Town of Conception Bay South,"Conception Bay South, NL",30.29,"Full-time
+1","Graduate of a recognized educational program accredited by the province of Newfoundland and Labrador for equipment operation. Job Types: Full-time, Seasonal.   ",8
Environmental Professional,Dovre Group,"Mount Pearl, NL",1.0,Full-time,"Must have a valid driver’s license. Involved in the planning, development and execution of Environmental Impact Assessments (EIAs)/Environmental Assessments …  ",10
Sales Manager,Hilton Garden Inn St. John's,"St. John's, NL",N/A,Full-time,"Must be able to work a flexible schedule, hold a valid driver’s license and self-drive to client appointments. Executes sales trips to key market areas.  ",11
housekeeping manager,Quin-Sea Fisheries,"Old Perlican, NL",750.0,Full-time,Respond to complaints of guests. Supervise maintenance and repair services. Co-ordinate maintenance and repair services. Supervise in-house laundry services.   ,2
Travel Consultant,Maxxim Vacations,"St. John's, NL",N/A,Full-time,We design trips that are a collection of cultural experiences unique to our region. Our local expertise allows us to recommend places and activities that are a…  ,4
Commissioner of Oath/Deeds - Province of Newfoundland,FCT,Hybrid remote in Newfoundland and Labrador,N/A,Part-time,"All recruitment, hiring, placements, transfers, promotions, training, compensation, benefits, discipline, and other terms and conditions of employment will be…   ",30
"TEAM LEAD, DATA CENTRE SERVICES",Memorial University of Newfoundland,Newfoundland and Labrador,78.0,Permanent,"Being part of vibrant, diverse community at Memorial situated on a beautiful campus that offers walking trails, recreation facilities, food court, coffee shops,…   ",2
Team Lead Day Shift,Kingsway Living,"St. John's, NL",N/A,Full-time, ,30
Business Development/Account Manager,Commissionaires,"St. John's, NL",N/A,Full-time,"We are a sought-after employer and community partner. We can help you achieve your goals through challenging work, professional development, and career…   ",9
Clinical Sleep Assistant,Air Liquide,"St. John's, NL",N/A,Full-time,"At Air Liquide, we are committed to build a diverse and inclusive workplace that embraces the diversity of our employees, our customers, patients, community…   ",30
"Manager, Emergency Response and Planning",St. John's International Airport Authority,"St. John's, NL",N/A,Full-time,The Manager contributes technical insight and leadership expertise to the business planning process in the development and implementation of emergency response…  ,30
Sir Thomas Roddick Hospital - Shift Lead,Paladin Security,"Stephenville, NL",21.85,Full-time,Any forms or information left by staff for filing or follow up and any other daily paperwork that must be filed or forwarded such as ticket batching.   ,30
Barista,Jumping Bean Coffee Company,"Gander, NL",15.0,Part-time,"Application deadline: 2023-10-31. Gander, NL: reliably commute or plan to relocate before starting work (required). Making hand crafted drinks and food.   ",5
Medical Records Technician IA,NL Health Services,"Remote in St. John's, NL",24.98,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ",17
Campus Representative,The Princeton Review,"St. John's, NL",19.0,Part-time,"Familiar with a variety of social media channels and experience with social media promotion. Every year, it helps millions of students bound for college and…   ",30
Companion Care Attendant (Full-time or Part-time),Tiffany Village Retirement Residence Partnership,"St. John's, NL",16.8,"Full-time
+1",Previous experience working in the field of seniors’ care/living and persons with disabilities is preferred. Current first aid with CPR and AED.   ,3
OH&S SAFETY TRAINING INSTRUCTOR,Well Control Group,"Hybrid remote in Mount Pearl, NL",50.0,Full-time,"Are you Certified to teach any OHS Safety courses under Workplace NL or other? Providing safety training instruction in Fall protection, Confined Space, Powered…  ",18
Information Analyst and Assistant Board Secretary,Board of Commissioners of Public Utilities,"St. John's, NL",60.0,Full-time,"Develop, implement, update, administer and monitor information management programs, protection policies and procedures for the Board which ensures the creation,…",4
Agent du service à la clientèle,PAL Airlines,"St. Anthony, NL",1.0,Full-time,"Aider les clients dans toutes les phases de leur réservation, enregistrement et l'embarquement et de processus de planification des activités conformément à…   ",30
Office Manager,Bugden Signs Limited,"St. John's, NL",42.0,"Full-time
+1","Serve as first point of contact for the company through telephone calls, email correspondance, and receiving vistiors at the office.  ",4
Simulator Technician I,CAE,"Mount Pearl, NL",N/A,Full-time,"2-year technical degree or equivalent related training. If you’d like more information about your EEO rights as an applicant under the law, please click here…   ",30
kitchen helper,MILA FOODS INC,"Goulds, NL",14.5,"Full-time
+1","Education: Secondary (high) school graduation certificate. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ",30
Inspirator (Health Coach) - Atlantic Canada,Newtopia Inc,"Remote in St. John's, NL",N/A,Full-time,"We're passionate about helping our participants develop sustainable healthy habits based on who they are, so they can feel their best and start living their…   ",30
tax return preparer,Tax Shelter (1974) Ltd.,"St. John's, NL",20.0,Full-time,"Perform clerical duties, such as maintain filing and record systems. Education: Other trades certificate or diploma. Address customers' complaints or concerns.  ",18
Post Office Clerk,Shoppers Drug Mart / Pharmaprix,"St. John's, NL",N/A,Part-time,"Take ownership of your work and find more ways to care about your work, co-workers, customers and community. Upholding the law is part of our Code of Conduct –…   ",19
Administrative Assistant,Association for New Canadians,"St. John's, NL",N/A,Full-time,"The role will include coordinating the administrative functions of the program, including support with planning of activities, maintenance of records and data…   ",29
sales consultant - retail,Cohen's Home Furnishings (2010) Limited,"Grand Falls-Windsor, NL",1.0,Full-time,"Education: No degree, certificate or diploma. Experience: 1 year to less than 2 years. Hours: 80 hours bi-weekly.  ",23
Production Scheduler,Braya Renewable Fuels (Newfoundland),"Hybrid remote in Come By Chance, NL",N/A,Full-time,"Develop daily operations & oil movement plans, monthly plans, annual budgets, evaluate feedstocks, monitor cargo quality, manage feedstock, product and additive…  ",30
nail salon manager,Nails Time Inc.,"St. John's, NL",19.0,"Full-time
+1","Address customers' complaints or concerns. Hire, train and supervise staff. Do you have previous experience in this field of employment?  ",18
Automotive Service Advisor,Frenchs Automotive Repair Ltd.,"Mount Pearl, NL",18.0,Full-time,"French's Automotive Ltd is growing along with our customer base, We are looking for someone to join our team to help our customers experience be nothing but top…  ",4
Information Analyst and Assistant Board Secretary,Board of Commissioners of Public Utilities,"St. John's, NL",60.0,Full-time,"Develop, implement, update, administer and monitor information management programs, protection policies and procedures for the Board which ensures the creation,…",4
Accounting Clerk,Country Ribbon Inc.,"St. John's, NL",21.89,Full-time,"With a local workforce over three hundred employees strong, Country Ribbon understands the importance of having a skilled and dedicated team.   ",30
Child Management Specialist,NL Health Services,"Remote in St. John's, NL",N/A,Full-time,"Demonstrated knowledge and skill in individual program planning and design, functional analysis, child development, treatment ethics, applied behavioral…  ",6
Courtesy Clerk- Cart Retrieval - PT,Dominion,"St. John's, NL",N/A,Part-time,"Our approach to sustainability and social impact is based on three pillars – Environment, Sourcing and Community – and we are constantly looking for ways to…   ",5
nail salon manager,Nails Time Inc.,"St. John's, NL",19.0,"Full-time
+1","Address customers' complaints or concerns. Hire, train and supervise staff. Establish or implement policies and procedures for staff.  ",18
Automotive Service Advisor,Frenchs Automotive Repair Ltd.,"Mount Pearl, NL",18.0,Full-time,Ability to effectively upsell products and services to customers. Knowledge of automotive repair and maintenance procedures.  ,4
Courtesy Clerk- Cart Retrieval - PT,Dominion,"St. John's, NL",N/A,Part-time,"As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by: Executing company-directed promotions and programs…   ",5
Accounting Clerk,Country Ribbon Inc.,"St. John's, NL",21.89,Full-time,"If you have completed a minimum two-year post-secondary accounting program, are proficient in Excel and have good organizational skills this could be a…   ",30
Child Management Specialist,NL Health Services,"Remote in St. John's, NL",N/A,Full-time,"Demonstrated knowledge and skill in individual program planning and design, functional analysis, child development, treatment ethics, applied behavioral…  ",6
EMR Clerk II,"Digital Health Division, NLHS","St. John's, NL",1.0,Full-time,"Any offer of employment will be conditional upon completion of required background checks including acceptable professional reference checks, provision of a…  ",10
Seasonal Service Team Member,"Michaels of Canada, ULC.","St. John's, NL",N/A,Part-time,Responsible to complete merchandise recovery and maintenance including the merchandise return / go back process and general store recovery to ensure a well…   ,30
Temporary Assistant Transportation Coordinator,Oceanex Inc.,"St. John's, NL",N/A,,"He / she will also be responsible for completing various reports and monitoring the detention and demurrage reports, contact customers for return of equipment…   ",30
Instructor,REL-THE SAFETY EXPERTS,"Paradise, NL",66.0,Full-time,We are seeking a WorkplaceNL certified Instructor who is currently able to teach all OR any combination of the following courses.  ,4
housekeeping manager,Quin-Sea Fisheries,"Old Perlican, NL",750.0,Full-time,Respond to complaints of guests. Supervise maintenance and repair services. Co-ordinate maintenance and repair services. Supervise in-house laundry services.   ,2
cleaner,PHILROBBEN JANITORIAL LIMITED,"Grand Falls-Windsor, NL",16.5,"Full-time
+1","Vacuum carpeting, area rugs, draperies and upholstered furniture. Experience: 1 year to less than 2 years. Sweep, mop, wash and polish floors.  ",30
Red Seal Crane Operator,Integrated Logistics,Newfoundland and Labrador,1.0,Full-time,"Participate in Integrated Logistics flow to work program which sees workers move between tasks, equipment pieces and labour assignments throughout the shift and…",4
Laundry Attendant / General Labourer,Herb's Industrial,"Wabush, NL",19.1,Full-time,Learn and utilize safe work practices. Helping with warehouse duties when needed. Involves working early mornings and late evenings occasionally.   ,25
cook's helper,Crosswind Investments Inc.,"Robinsons, NL",17.5,"Full-time
+1","Education: No degree, certificate or diploma. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ",3
cashier,northern grocery inc,"Port au Choix, NL",16.0,"Full-time
+1","Process money, cheques and credit/debit card payments. Receive payment for goods or services. Monitor all entrances and exits, request proof of payment when…  ",11
Medical Records Technician IA,NL Health Services,"Remote in St. John's, NL",24.98,Full-time,Current and continuing certification as an accredited Health Information Management Professional from the Canadian Health Information Management Association …  ,17
Aerie - Brand Ambassador (Sales Associate) - Canada,American Eagle Outfitters,"St. John's, NL",N/A,Part-time,"You're eager to introduce the AEO loyalty program and additional brand channels to guests. This applies to all AEO activities, including, but not limited to,…   ",30
Sir Thomas Roddick Hospital - Shift Lead,Paladin Security,"Stephenville, NL",21.85,Full-time,Any forms or information left by staff for filing or follow up and any other daily paperwork that must be filed or forwarded such as ticket batching.   ,30
kitchen helper,MILA FOODS INC,"Goulds, NL",14.5,"Full-time
+1","Education: Secondary (high) school graduation certificate. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ",30
Retail Store Manager,PetSmart,"St. John's, NL",55.0,,"Associate Leadership: With an emphasis on training and development, our Associate Lead ensures that our teams have the education they need to advise pet parents…   ",30
Bookkeeper - Part Time,West Side Charlies,"Remote in Mount Pearl, NL",21.0,Part-time,"Assist with payroll processing and ensure compliance with relevant regulations. Process accounts payable and accounts receivable, including invoicing and…   ",6
Disturbed Joint Coordinator,DyTech Offshore Project Management Inc.,"St. John's, NL",N/A,Monday to Friday,Data entry and document review. Familiarity with P&ID's and Isometric drawings is a requirement. Work with other coordinators in a Disturbed Joint Management…  ,5
Production Scheduler,Braya Renewable Fuels (Newfoundland),"Hybrid remote in Come By Chance, NL",N/A,Full-time,"Develop daily operations & oil movement plans, monthly plans, annual budgets, evaluate feedstocks, monitor cargo quality, manage feedstock, product and additive…  ",30
Labourer II,Newfoundland & Labrador Housing Corporation,"St. John's, NL",20.05,"Full-time
+1","Proof of a valid class 5 driver's license. The region provides a wide range of services, including receiving and processing rental applications; administering…   ",23
Agent du service à la clientèle,PAL Airlines,"St. Anthony, NL",1.0,Full-time,"Aider les clients dans toutes les phases de leur réservation, enregistrement et l'embarquement et de processus de planification des activités conformément à…   ",30
Carpenter (Renovations and Remodels),METRO PROPERTY MANAGEMENT,"Mount Pearl, NL",23.0,Full-time,"You'll also have a clean drivers abstract and criminal record check. Occasionally installing siding, windows and doors. Install flooring (laminate, vinyl etc.).  ",4
baker helper,N&N Vending Ltd,"Labrador City, NL",15.5,"Full-time
+1","Education: No degree, certificate or diploma. Hours: 35 to 40 hours per week.  ",4
"barista - Store# 16187, STAVANGER & TORBAY - ST. JOHN'",Starbucks,"St. John's, NL",15.65,"Weekends as needed
+1","Meet store operating policies and standards, including providing quality beverages and food products, cash handling and store safety and security, with or…   ",20
Information Analyst and Assistant Board Secretary,Board of Commissioners of Public Utilities,"St. John's, NL",60.0,Full-time,"Develop, implement, update, administer and monitor information management programs, protection policies and procedures for the Board which ensures the creation,…",4
Hatchery Technician,Mowi ASA,"Stephenville, NL",N/A,Full-time,"In the Hatchery Technician role you will experience all the duties of a Hatchery Technician including, feeding, grading/counting or measuring fish, mortality…  ",30
Brewhouse Lead,First Key Consulting,"St. John's, NL",55.0,Full-time,Post-hire training / certification required. O Identify areas for employee improvement / development. Working with Quidi Vidi Brewery encourages your best and…  ,4
Optical Specialist,Avalon Holographics,"St. John's, NL",N/A,Full-time,You will work closely with mechanical engineers to develop opto-mechanical structures required for calibration and analysis of optical assemblies.  ,30
KEY HOLDER - BIKINI VILLAGE,Boutique La Vie En Rose,"St. John's, NL",N/A,Full-time,Job Description • Cordially greet every customer; • Proceed at the opening and the closing of the day; • Answer customer’s questions and advise them on …   ,30
Cashier/Inventory Pricing & Display,Notre Dame Home Castle,"Gander, NL",1.0,Full-time,". Greeting customers with a smile, in person or on the phone, meeting all their merchandising needs from product inquiries, check out, to returns.  ",22
Snow Removal,GDI Services (Canada) LP,"Labrador City, NL",N/A,,The successful candidate is required to monitor the weather and site at all times during the snow season.. Experience would be an asset..   ,8
Hydrographer - Marine,Fugro,"St. John's, NL",N/A,Full-time,Possess the ability to obtain a valid passport for international travel. The Hydrographer is responsible for conducting Hydrographic surveys in accordance with…   ,30
Service Technician,Northern Mining Equipment,"Mount Pearl, NL",90.0,Full-time,For more information on the responsibilities and duties of this role please refer to the below: We are currently searching for a driven and ambitious licensed…  ,5
Project Manager,Cahill,"St. John's, NL",N/A,,"The Project Manager will demonstrate strong leadership skills with intense attention to detail, as well as demonstrating proficiency at leading meetings as…   ",30
Production Associate / Machine Attendant (Midnights),Superior Glove,"Point Leamington, NL",1.0,,"Take part in community and company events, staff lunch adventures and annual barbeques! Fantastic Health & Wellness benefits, including RRSP contribution…   ",1
Clinical Oxygen Consultant (Clarenville NL),Air Liquide,"St. John's, NL",N/A,Part-time,Provides quality care by conducting a full respiratory assessment; diagnostics as applicable; assessing and evaluating test results; delivering of equipment and…   ,30
Office Coordinator,Quin-Sea Fisheries Ltd,"St. John's, NL",45.0,Full-time,"While this is a receptionist / front desk role, we want it to be much more than that. The individual needs to take complete ownership over the entire office…   ",17
"Coordinator, Games Village",2025 Canada Games,"Hybrid remote in St. John's, NL",1.0,Full-time,"La Société hôtesse des Jeux d’été du Canada 2025 entend employer une équipe qualifiée, qui reflète l’idée selon laquelle la diversité et l’inclusion mènent au…  ",10
Pharmacy Intern,Walmart Canada,"Mount Pearl, NL",N/A,Part-time,Responsible for completing all requirements of an intern as outlined by their provincial regulatory body to ensure their licensure as a pharmacist in a timely…   ,30
Business Development/Account Manager,Commissionaires,"St. John's, NL",N/A,Full-time,"We are a sought-after employer and community partner. We can help you achieve your goals through challenging work, professional development, and career…   ",9
Job Coach for Person with Intellectual Disability (Office),Visions Employment Plus Inc.,"St. John's, NL",16.05,Full-time,"Duties include working alongside individual providing support and motivation, and helping client complete their duties, which include scanning, filing,…  ",4
Business Development/Account Manager,Commissionaires,"St. John's, NL",N/A,Full-time,"We are a sought-after employer and community partner. We can help you achieve your goals through challenging work, professional development, and career…   ",9
